"('mid',)","('averageRating',)","('numVotes',)"
tt0019563,7.2,1784
tt0019585,8.0,6578
tt0019591,7.2,1512
tt0019644,7.1,1372
tt0019646,7.6,1013
tt0019649,7.2,2073
tt0019655,7.4,1541
tt0019702,6.9,10537
tt0019729,5.7,7074
tt0019735,6.4,1028
tt0019760,8.4,24379
tt0019777,6.9,7511
tt0019788,5.6,2142
tt0019811,6.8,1136
tt0019823,6.1,1167
tt0019901,7.2,3392
tt0019959,6.7,1818
tt0019993,5.9,2032
tt0020018,5.6,1086
tt0020030,7.1,1264
tt0020062,6.8,1122
tt0020112,7.0,2304
tt0020122,7.7,1337
tt0020142,6.2,2914
tt0020143,6.3,1201
tt0020163,7.3,3074
tt0020269,7.1,1569
tt0020298,7.1,3245
tt0020442,7.0,2107
tt0020451,7.2,1496
tt0020475,7.8,4418
tt0020514,6.5,1341
tt0020620,5.7,1520
tt0020629,8.1,60392
tt0020640,7.4,14356
tt0020641,6.6,3144
tt0020686,7.1,2147
tt0020691,7.2,3745
tt0020697,7.7,14822
tt0020768,7.7,3246
tt0020793,7.6,1111
tt0020815,7.2,1773
tt0020827,6.7,3101
tt0020836,6.5,1109
tt0020876,6.7,1073
tt0020891,6.2,1313
tt0020960,7.3,5357
tt0021015,4.6,2302
tt0021025,6.7,1335
tt0021040,6.7,1208
tt0021079,7.2,13107
tt0021106,6.4,1030
tt0021148,6.8,1696
tt0021153,6.7,1304
tt0021156,7.0,6507
tt0021165,6.3,6273
tt0021189,5.9,1079
tt0021309,7.7,1315
tt0021331,7.3,6585
tt0021409,7.1,2235
tt0021505,6.7,1231
tt0021508,5.9,1221
tt0021542,7.4,2017
tt0021549,6.5,1027
tt0021571,7.2,5627
tt0021577,7.2,13700
tt0021622,6.2,1724
tt0021633,6.5,1145
tt0021635,6.5,1329
tt0021636,6.2,1300
tt0021668,6.7,1471
tt0021673,7.1,1890
tt0021730,7.3,3092
tt0021739,7.6,4188
tt0021746,5.9,6036
tt0021749,8.5,180215
tt0021750,7.0,1594
tt0021770,7.0,1133
tt0021778,6.3,1044
tt0021800,7.2,2635
tt0021814,7.4,50979
tt0021815,7.1,4509
tt0021818,7.3,2234
tt0021873,7.3,2083
tt0021874,6.5,1364
tt0021884,7.8,70568
tt0021885,6.6,2543
tt0021890,6.7,2859
tt0021985,7.7,1569
tt0021992,6.1,1023
tt0022000,6.2,1443
tt0022017,7.5,1495
tt0022054,6.9,1335
tt0022074,7.2,3725
tt0022080,7.2,2243
tt0022100,8.3,154063
tt0022111,6.8,2907
tt0022125,7.8,2290
tt0022150,7.4,3462
tt0022153,7.2,2038
tt0022158,7.4,13444
tt0022183,7.6,3033
tt0022208,7.0,3727
tt0022236,6.5,1196
tt0022251,6.9,2520
tt0022264,6.5,1376
tt0022268,6.8,3088
tt0022276,6.9,2076
tt0022279,6.7,1199
tt0022286,7.6,20697
tt0022335,7.0,1335
tt0022395,5.7,3168
tt0022403,6.8,1965
tt0022436,7.6,1753
tt0022453,6.3,1227
tt0022454,6.8,2002
tt0022458,7.4,5726
tt0022485,7.2,1380
tt0022489,6.6,1412
tt0022550,7.4,2870
tt0022599,7.5,4442
tt0022626,7.4,2024
tt0022628,6.4,1111
tt0022639,6.9,1143
tt0022660,6.7,1295
tt0022685,6.5,1671
tt0022689,6.0,1286
tt0022694,6.8,1244
tt0022698,7.1,4960
tt0022700,6.5,1244
tt0022718,7.3,5692
tt0022725,7.6,1040
tt0022735,6.7,1679
tt0022753,6.2,1011
tt0022787,7.8,1444
tt0022792,6.2,1282
tt0022802,6.8,1260
tt0022827,6.4,3455
tt0022834,7.0,1774
tt0022835,7.6,13598
tt0022867,6.7,2423
tt0022877,7.8,1723
tt0022879,6.4,5890
tt0022905,6.9,1473
tt0022913,7.9,45339
tt0022958,7.3,18919
tt0022991,5.8,1312
tt0023027,7.5,12577
tt0023028,6.6,1071
tt0023042,8.2,13032
tt0023049,7.0,1767
tt0023074,7.2,2156
tt0023158,7.6,4003
tt0023181,6.8,1189
tt0023194,6.3,3322
tt0023196,6.6,3671
tt0023213,6.9,1404
tt0023225,6.9,1159
tt0023238,7.1,12076
tt0023241,7.1,1514
tt0023245,7.0,26038
tt0023249,6.3,4355
tt0023277,6.6,1376
tt0023285,5.7,4768
tt0023293,7.0,10732
tt0023303,7.1,2494
tt0023305,7.5,3745
tt0023312,7.2,2357
tt0023327,6.9,1190
tt0023349,6.2,1128
tt0023362,6.4,1584
tt0023369,6.9,2685
tt0023374,6.6,1045
tt0023382,7.3,4268
tt0023385,7.0,3110
tt0023394,6.2,1087
tt0023395,5.7,4263
tt0023427,7.7,27426
tt0023458,7.3,8632
tt0023470,6.9,2290
tt0023488,6.9,1335
tt0023491,6.8,1633
tt0023498,5.8,1009
tt0023551,7.0,7424
tt0023556,6.6,1349
tt0023563,7.9,12366
tt0023582,6.2,1387
tt0023590,7.1,3827
tt0023622,8.0,14367
tt0023629,6.9,1117
tt0023634,7.9,5442
tt0023649,7.5,17682
tt0023686,7.1,2312
tt0023694,6.3,10333
tt0023731,6.8,2715
tt0023753,6.3,2185
tt0023775,7.5,6865
tt0023814,7.0,3853
tt0023825,7.1,2739
tt0023856,6.5,1279
tt0023871,7.7,1442
tt0023876,5.9,5121
tt0023891,6.3,1451
tt0023911,7.7,1179
tt0023926,6.8,2403
tt0023935,6.0,1111
tt0023937,7.2,1317
tt0023940,7.4,6544
tt0023943,7.1,1925
tt0023948,7.5,8209
tt0023960,6.8,1160
tt0023969,7.8,59446
tt0023973,7.1,1198
tt0023985,6.4,1069
tt0023986,7.3,1330
tt0023993,6.4,1460
tt0024008,6.7,1668
tt0024025,6.6,3657
tt0024028,7.5,5381
tt0024034,7.4,11701
tt0024044,6.4,1312
tt0024055,5.8,2647
tt0024067,6.3,1788
tt0024069,7.7,8029
tt0024087,5.9,1435
tt0024115,7.4,2204
tt0024127,5.6,1737
tt0024130,6.9,1563
tt0024166,6.9,3415
tt0024183,7.0,1278
tt0024184,7.7,34037
tt0024188,7.4,9267
tt0024210,6.9,3414
tt0024216,7.9,83958
tt0024238,6.6,1604
tt0024239,7.0,1703
tt0024240,7.4,4138
tt0024252,7.5,1414
tt0024262,7.1,1284
tt0024264,7.2,6969
tt0024302,7.2,1456
tt0024314,6.9,1643
tt0024334,7.0,1414
tt0024353,6.4,2957
tt0024360,6.5,1166
tt0024368,6.8,5607
tt0024402,7.1,1017
tt0024426,6.4,1144
tt0024433,6.6,1426
tt0024435,6.8,1073
tt0024450,7.0,1596
tt0024473,7.0,4244
tt0024481,7.6,7744
tt0024500,5.4,1060
tt0024516,5.4,1222
tt0024548,6.3,6061
tt0024593,5.7,4573
tt0024601,7.5,8741
tt0024617,7.1,1483
tt0024675,5.9,1255
tt0024727,5.7,2545
tt0024747,5.8,1455
tt0024772,7.5,1987
tt0024785,7.3,1136
tt0024831,7.0,1257
tt0024844,7.8,15587
tt0024852,7.2,6782
tt0024865,7.0,1880
tt0024894,6.9,11036
tt0024902,5.3,1574
tt0024906,6.2,1127
tt0024914,7.2,2247
tt0024916,6.7,1018
tt0024961,6.7,1239
tt0024966,7.1,1273
tt0024968,7.0,1983
tt0024989,6.6,1078
tt0024991,6.8,3847
tt0025004,7.4,2785
tt0025028,7.1,2056
tt0025037,7.0,1998
tt0025091,6.8,1580
tt0025101,6.7,1664
tt0025129,6.6,1639
tt0025132,6.4,1397
tt0025161,6.6,1027
tt0025164,7.4,7730
tt0025173,6.6,1170
tt0025272,6.6,1152
tt0025273,6.1,1047
tt0025301,7.5,4646
tt0025316,8.1,101331
tt0025318,7.1,5331
tt0025330,6.7,1850
tt0025335,6.3,2176
tt0025397,6.9,1170
tt0025410,7.0,1281
tt0025423,6.8,3285
tt0025440,5.6,1200
tt0025452,6.8,18657
tt0025455,5.1,1130
tt0025456,7.2,2128
tt0025464,7.2,4093
tt0025465,3.7,2445
tt0025493,7.2,2882
tt0025536,6.1,1001
tt0025586,7.0,7268
tt0025607,6.1,1422
tt0025610,7.0,1952
tt0025617,6.5,1492
tt0025699,5.4,1057
tt0025740,6.9,1431
tt0025746,7.6,6475
tt0025748,7.4,4264
tt0025830,5.2,1104
tt0025862,7.3,5092
tt0025878,7.9,28984
tt0025898,7.2,1810
tt0025907,7.1,2733
tt0025913,7.2,17113
tt0025919,7.4,6460
tt0025929,7.7,3079
tt0025948,6.4,1321
tt0026017,7.6,1021
tt0026029,7.6,55898
tt0026056,6.9,4105
tt0026071,7.0,5336
tt0026073,6.7,1694
tt0026097,6.8,1734
tt0026104,5.9,1088
tt0026123,7.0,1950
tt0026126,6.8,1902
tt0026129,6.7,1795
tt0026138,7.8,47168
tt0026144,6.8,1766
tt0026164,6.8,2140
tt0026174,7.7,14107
tt0026197,6.7,2012
tt0026198,7.1,1617
tt0026199,6.9,1479
tt0026205,6.9,2561
tt0026246,6.9,1956
tt0026249,6.6,1118
tt0026252,6.8,1875
tt0026261,6.9,3221
tt0026266,7.4,4188
tt0026267,5.1,1171
tt0026276,6.9,3510
tt0026388,6.5,1568
tt0026393,7.1,3866
tt0026406,6.8,1871
tt0026413,6.7,1355
tt0026421,6.9,2654
tt0026424,7.5,1411
tt0026452,7.0,1816
tt0026519,7.0,1301
tt0026529,7.4,6334
tt0026564,7.4,1297
tt0026605,6.4,1036
tt0026641,6.8,1533
tt0026643,7.1,2885
tt0026663,7.2,5168
tt0026676,7.6,1172
tt0026685,6.3,4797
tt0026714,6.9,3458
tt0026725,7.7,3541
tt0026739,6.8,1075
tt0026752,7.7,22452
tt0026768,6.6,1347
tt0026778,7.8,32457
tt0026840,6.8,1312
tt0026866,7.0,2156
tt0026912,6.9,5479
tt0026914,6.4,1223
tt0026942,7.0,3251
tt0026955,7.6,3959
tt0026972,6.5,2260
tt0026983,6.4,1672
tt0027029,6.5,1011
tt0027040,6.7,1405
tt0027042,7.0,1129
tt0027067,6.2,4073
tt0027075,7.8,5669
tt0027076,7.7,1025
tt0027118,7.5,1382
tt0027125,7.7,18877
tt0027194,6.3,5475
tt0027214,7.3,2733
tt0027260,7.7,10668
tt0027286,6.2,1843
tt0027300,6.3,1791
tt0027307,7.4,1091
tt0027336,7.5,3227
tt0027342,7.6,1240
tt0027367,7.0,3213
tt0027376,6.6,2035
tt0027387,6.7,1636
tt0027407,7.0,2916
tt0027413,6.5,1887
tt0027421,7.0,1351
tt0027438,7.0,4877
tt0027439,6.9,1663
tt0027440,7.2,2097
tt0027441,7.1,1481
tt0027442,7.0,1572
tt0027459,6.9,2017
tt0027478,7.3,3333
tt0027489,7.6,1473
tt0027515,7.1,2459
tt0027521,7.0,4354
tt0027532,7.8,8938
tt0027545,6.3,6656
tt0027552,7.4,1827
tt0027593,7.0,1788
tt0027623,7.0,2372
tt0027630,7.2,4331
tt0027652,7.9,12324
tt0027657,5.8,1545
tt0027664,6.6,1206
tt0027672,7.5,2665
tt0027686,6.5,1019
tt0027687,6.2,1088
tt0027690,5.6,1219
tt0027697,6.3,1001
tt0027698,6.7,7990
tt0027752,7.8,3529
tt0027796,6.7,1212
tt0027800,6.6,2514
tt0027869,6.7,1395
tt0027884,7.8,7798
tt0027893,7.3,2100
tt0027902,7.0,1107
tt0027914,6.0,1227
tt0027938,6.6,1063
tt0027948,6.3,2529
tt0027969,6.5,1663
tt0027977,8.5,235102
tt0027996,7.8,21163
tt0028010,8.0,23337
tt0028021,7.2,2298
tt0028070,7.3,3118
tt0028096,7.5,13595
tt0028108,6.8,2209
tt0028118,7.0,1453
tt0028138,6.7,1014
tt0028141,7.3,2188
tt0028167,7.1,1803
tt0028174,3.4,1684
tt0028201,7.6,2202
tt0028203,6.5,1997
tt0028207,6.8,1306
tt0028212,7.0,16466
tt0028216,7.2,5505
tt0028219,5.9,2276
tt0028231,6.5,8337
tt0028249,7.5,3292
tt0028313,7.3,2734
tt0028315,7.1,1344
tt0028330,6.4,1439
tt0028333,7.5,13381
tt0028345,6.6,3328
tt0028346,3.7,8555
tt0028355,7.1,2486
tt0028356,7.4,2666
tt0028358,6.6,7847
tt0028373,6.6,1380
tt0028401,6.8,1209
tt0028478,6.6,2643
tt0028505,7.0,3407
tt0028510,6.0,1005
tt0028575,7.2,2770
tt0028597,7.7,19280
tt0028661,6.3,1136
tt0028665,6.7,1249
tt0028683,7.4,7914
tt0028691,8.0,9537
tt0028707,6.8,1500
tt0028708,7.0,1698
tt0028709,7.1,1466
tt0028737,7.4,1248
tt0028739,6.5,1523
tt0028757,6.8,2004
tt0028767,6.2,1278
tt0028772,7.5,13689
tt0028773,7.3,7394
tt0028804,6.9,2178
tt0028816,7.6,3480
tt0028818,7.3,1778
tt0028842,6.6,1500
tt0028872,6.5,1816
tt0028944,7.5,4916
tt0028950,8.1,36010
tt0028988,7.3,4456
tt0029002,7.4,1882
tt0029030,7.2,2569
tt0029047,6.8,2325
tt0029058,7.4,2414
tt0029080,7.2,3529
tt0029081,6.3,1248
tt0029087,6.8,1298
tt0029118,6.7,1522
tt0029120,6.4,1458
tt0029146,7.2,8053
tt0029162,7.7,12900
tt0029192,8.2,8315
tt0029201,7.0,1420
tt0029217,7.1,4108
tt0029222,7.3,1082
tt0029284,7.3,10355
tt0029310,7.2,2527
tt0029314,7.7,2032
tt0029322,6.9,6529
tt0029335,7.4,1732
tt0029347,6.7,1067
tt0029440,7.2,2497
tt0029442,7.7,4484
tt0029453,7.7,7273
tt0029454,6.2,1163
tt0029511,6.5,1939
tt0029516,6.5,1738
tt0029546,7.5,7095
tt0029557,7.0,1118
tt0029583,7.6,193850
tt0029604,7.7,8318
tt0029605,6.8,1177
tt0029606,7.3,9624
tt0029608,7.4,5361
tt0029650,6.5,1550
tt0029658,7.2,1654
tt0029660,6.8,1086
tt0029675,6.3,1049
tt0029682,7.3,7436
tt0029695,6.7,1540
tt0029747,7.6,8213
tt0029751,7.0,1677
tt0029808,7.3,6692
tt0029811,6.9,9473
tt0029842,5.6,1058
tt0029843,7.9,50225
tt0029844,7.1,1996
tt0029850,7.5,11204
tt0029852,6.9,2103
tt0029855,6.7,2774
tt0029864,7.0,2608
tt0029870,7.9,21208
tt0029923,7.5,3930
tt0029929,7.2,3838
tt0029942,7.2,5644
tt0029947,7.8,60357
tt0029957,7.6,7517
tt0029971,7.0,3801
tt0029984,6.8,1621
tt0029992,7.5,7395
tt0029995,7.1,2091
tt0030018,6.6,1520
tt0030026,6.5,1200
tt0030044,7.5,2999
tt0030063,6.6,1410
tt0030127,7.5,2051
tt0030149,6.9,1942
tt0030151,6.4,1139
tt0030202,6.5,1175
tt0030241,7.7,16011
tt0030252,7.6,2666
tt0030287,7.5,13309
tt0030341,7.8,51377
tt0030386,6.8,1849
tt0030396,6.7,2382
tt0030413,6.6,1331
tt0030418,7.4,2983
tt0030424,7.1,1199
tt0030442,7.3,1855
tt0030473,6.0,1042
tt0030517,6.8,1149
tt0030522,7.8,4779
tt0030523,7.7,3975
tt0030637,7.8,8599
tt0030643,7.8,9001
tt0030657,7.0,1709
tt0030696,6.6,5167
tt0030743,6.4,1062
tt0030744,6.9,1487
tt0030746,7.0,1283
tt0030755,6.8,1910
tt0030764,7.0,2226
tt0030824,6.6,2110
tt0030845,3.9,1755
tt0030848,6.9,2373
tt0030865,7.2,1825
tt0030879,6.7,1470
tt0030944,7.2,3613
tt0030989,6.6,1209
tt0030993,7.8,25250
tt0030996,6.9,1343
tt0031002,7.3,1367
tt0031020,6.8,1266
tt0031022,7.3,6723
tt0031033,6.3,1672
tt0031047,7.4,7224
tt0031060,6.8,5992
tt0031066,6.4,2499
tt0031067,7.6,4055
tt0031088,7.6,5930
tt0031143,7.2,3004
tt0031147,7.2,1733
tt0031148,6.5,1255
tt0031149,7.0,1380
tt0031173,6.7,1686
tt0031208,5.7,1317
tt0031210,7.5,10969
tt0031225,7.6,11266
tt0031235,7.1,5167
tt0031252,7.0,6185
tt0031260,7.3,3290
tt0031302,6.8,1531
tt0031314,7.1,2038
tt0031322,6.8,5106
tt0031334,7.5,5982
tt0031359,7.4,4422
tt0031377,6.9,1928
tt0031381,8.2,307821
tt0031385,7.9,10475
tt0031387,4.8,1445
tt0031397,6.6,4295
tt0031398,7.3,11800
tt0031448,7.4,10323
tt0031455,7.8,11212
tt0031473,6.6,1474
tt0031477,7.1,3086
tt0031491,6.7,2511
tt0031500,6.9,2886
tt0031505,6.3,9955
tt0031507,7.0,4418
tt0031514,7.7,7530
tt0031516,6.9,2335
tt0031536,6.4,1351
tt0031580,7.2,6059
tt0031593,7.3,5261
tt0031602,6.3,3552
tt0031614,6.8,1695
tt0031619,7.1,1683
tt0031647,7.9,4949
tt0031678,6.4,1319
tt0031679,8.1,113607
tt0031709,6.6,1184
tt0031725,7.9,20710
tt0031742,7.9,5959
tt0031747,6.4,2219
tt0031750,7.5,3721
tt0031754,7.7,1978
tt0031762,7.7,13794
tt0031826,7.0,5562
tt0031835,6.9,1970
tt0031842,6.5,1065
tt0031851,5.7,2173
tt0031867,7.9,13785
tt0031885,7.9,28503
tt0031951,7.1,10127
tt0031968,6.9,2170
tt0031971,7.8,47690
tt0031973,7.0,1399
tt0031976,7.0,1053
tt0031981,7.0,1091
tt0031983,6.9,2542
tt0032007,6.5,3352
tt0032022,6.8,2275
tt0032043,6.5,1299
tt0032049,6.6,1970
tt0032080,7.1,2993
tt0032138,8.1,386045
tt0032143,7.8,13599
tt0032145,7.6,17819
tt0032152,7.0,1672
tt0032153,6.3,1108
tt0032155,7.5,8117
tt0032156,7.8,3693
tt0032179,6.1,1048
tt0032181,7.3,1806
tt0032186,8.0,1295
tt0032194,7.5,4855
tt0032209,6.5,1168
tt0032215,4.6,1831
tt0032221,6.8,1316
tt0032234,7.1,7158
tt0032245,6.1,1205
tt0032247,6.5,1836
tt0032258,6.3,2462
tt0032264,6.2,1759
tt0032273,7.1,3400
tt0032281,6.3,1063
tt0032283,6.1,1073
tt0032284,7.3,2426
tt0032285,7.0,2714
tt0032324,7.1,1600
tt0032325,7.1,1383
tt0032326,7.1,1337
tt0032338,7.4,3774
tt0032339,7.3,3889
tt0032342,7.2,2360
tt0032349,6.5,1581
tt0032356,6.9,1220
tt0032376,6.8,2572
tt0032383,6.8,2624
tt0032390,5.5,2983
tt0032404,5.5,1170
tt0032410,6.4,1126
tt0032412,6.4,2539
tt0032413,7.4,1613
tt0032432,7.1,1614
tt0032455,7.7,93943
tt0032457,5.4,1105
tt0032467,6.6,1869
tt0032475,6.7,1368
tt0032484,7.5,20458
tt0032520,7.1,3427
tt0032536,6.8,5451
tt0032551,8.1,90656
tt0032553,8.4,218350
tt0032554,7.3,3929
tt0032599,7.9,57477
tt0032610,7.0,1148
tt0032612,6.1,1163
tt0032617,7.5,3281
tt0032635,6.5,4351
tt0032636,6.7,1627
tt0032637,6.0,2789
tt0032643,6.6,1211
tt0032651,6.9,1305
tt0032653,5.1,3161
tt0032671,6.9,3649
tt0032676,6.7,1897
tt0032701,7.6,12859
tt0032728,6.9,4247
tt0032762,7.5,10048
tt0032811,7.8,5204
tt0032818,6.0,4021
tt0032819,6.9,1257
tt0032828,6.9,2823
tt0032842,7.2,4953
tt0032846,6.2,1054
tt0032850,6.4,1657
tt0032851,7.0,3575
tt0032871,5.7,1503
tt0032873,6.3,1700
tt0032881,6.6,2582
tt0032904,7.9,67822
tt0032910,7.5,140714
tt0032943,7.4,8184
tt0032946,6.9,1542
tt0032976,8.1,133993
tt0032981,7.6,5739
tt0032983,6.6,3218
tt0032993,6.7,3734
tt0033021,6.2,3688
tt0033022,7.1,2800
tt0033028,7.6,9763
tt0033029,5.7,1556
tt0033038,6.6,1423
tt0033045,8.1,32162
tt0033105,6.9,2631
tt0033107,6.8,4005
tt0033110,6.8,1683
tt0033117,5.9,1342
tt0033149,7.3,7779
tt0033152,7.4,13016
tt0033174,6.5,1487
tt0033175,6.7,1365
tt0033226,6.8,2586
tt0033238,7.8,9820
tt0033253,7.3,5809
tt0033283,6.1,1283
tt0033289,6.8,1107
tt0033317,7.3,1307
tt0033373,7.8,12220
tt0033388,6.5,5060
tt0033397,6.1,1723
tt0033405,6.8,2746
tt0033407,6.9,2015
tt0033409,6.8,1131
tt0033432,6.9,3347
tt0033436,7.0,4422
tt0033458,6.9,1344
tt0033467,8.3,431307
tt0033477,7.0,2051
tt0033491,6.7,1174
tt0033519,6.9,1222
tt0033530,6.2,1152
tt0033532,7.6,4960
tt0033533,7.6,4043
tt0033537,6.5,1818
tt0033553,6.8,8863
tt0033558,6.4,1058
tt0033563,7.3,128574
tt0033582,7.2,1348
tt0033606,6.6,1170
tt0033616,6.8,1241
tt0033627,7.3,6582
tt0033650,6.5,1056
tt0033654,7.2,2347
tt0033660,6.2,1485
tt0033676,6.1,1403
tt0033677,7.1,3852
tt0033686,6.9,1318
tt0033704,7.4,3070
tt0033712,7.6,6345
tt0033717,7.5,16666
tt0033722,7.3,2413
tt0033723,7.3,3755
tt0033726,6.6,1129
tt0033727,6.9,1252
tt0033729,7.7,23602
tt0033740,7.2,4713
tt0033754,6.7,3037
tt0033760,5.2,2154
tt0033766,7.6,1539
tt0033774,7.0,3061
tt0033781,6.5,1603
tt0033787,5.2,2185
tt0033802,7.1,1303
tt0033804,7.8,21045
tt0033836,7.9,11691
tt0033852,7.4,2969
tt0033868,6.8,1338
tt0033870,8.0,155870
tt0033873,7.2,5319
tt0033874,7.5,7740
tt0033879,6.1,1484
tt0033891,7.6,13348
tt0033902,6.6,1135
tt0033918,6.8,1254
tt0033922,6.3,10233
tt0033945,7.1,2346
tt0033980,6.8,1277
tt0033987,6.9,1505
tt0034012,7.1,7025
tt0034027,7.2,1576
tt0034055,6.0,1730
tt0034078,6.4,1224
tt0034091,6.8,3214
tt0034093,7.2,1134
tt0034116,6.7,3096
tt0034162,7.5,3725
tt0034167,7.7,17950
tt0034172,7.2,5999
tt0034175,6.6,2723
tt0034182,6.9,2215
tt0034224,5.4,1698
tt0034236,7.2,3684
tt0034240,7.9,25896
tt0034241,7.2,1613
tt0034248,7.3,37516
tt0034251,7.1,1739
tt0034266,6.5,2935
tt0034269,6.8,1255
tt0034272,7.2,4434
tt0034274,6.7,2653
tt0034277,7.2,6240
tt0034281,6.5,1120
tt0034297,6.5,2202
tt0034298,7.3,1248
tt0034299,6.4,1108
